# .test .cputime .temperature .time_mat1 .time_mat2
1 0.001856  0.000 0.000033 0.000003
2 0.003856  0.000 0.000004 0.000003
3 0.005671  0.000 0.000034 0.000004
4 0.006730  0.487 0.000004 0.000004
5 0.008180  0.487 0.000025 0.000004
6 0.009790  0.487 0.000016 0.000004
7 0.011545  0.487 0.000027 0.000005
8 0.013187 -0.974 0.000018 0.000006
9 0.014515 -0.974 0.000028 0.000006
10 0.015963 -0.487 0.000019 0.000007
11 0.017567  0.000 0.000028 0.000007
12 0.019141 -0.487 0.000021 0.000009
13 0.020752  0.000 0.000030 0.000009
14 0.022259  0.000 0.000022 0.000011
15 0.023761  0.000 0.000032 0.000011
16 0.025349  0.974 0.000025 0.000013
17 0.026919  0.000 0.000025 0.000014
18 0.028527 -0.487 0.000036 0.000015
19 0.030071  0.000 0.000028 0.000016
20 0.031781 -0.487 0.000038 0.000018
21 0.033059 -0.487 0.000032 0.000019
22 0.036793  0.487 0.000041 0.000021
23 0.036446  0.974 0.000034 0.000023
24 0.038644  0.974 0.000044 0.000024
25 0.038923 -0.487 0.000038 0.000026
26 0.040582  0.487 0.000049 0.000028
27 0.041787  0.000 0.000041 0.000031
28 0.042928  0.974 0.000054 0.000034
29 0.048927  0.000 0.000035 0.000035
30 0.048559  0.487 0.000069 0.000040
31 0.046974  0.000 0.000039 0.000042
32 0.045082  0.487 0.000071 0.000043
33 0.046407  1.461 0.000037 0.000045
34 0.049386  0.487 0.000069 0.000049
35 0.049178  0.487 0.000042 0.000051
36 0.050548  0.487 0.000074 0.000054
37 0.059523  0.974 0.000051 0.000059
38 0.057749  0.487 0.000085 0.000060
39 0.056013  0.000 0.000052 0.000063
40 0.057517  1.461 0.000084 0.000066
41 0.059845  0.000 0.000056 0.000079
42 0.060426  1.461 0.000093 0.000073
43 0.062071  0.000 0.000061 0.000076
44 0.061203  1.461 0.000096 0.000078
45 0.062627  0.487 0.000067 0.000083
46 0.063193  0.974 0.000102 0.000086
47 0.063602  0.487 0.000073 0.000090
48 0.070097  0.974 0.000110 0.000094
49 0.066268  0.974 0.000078 0.000097
50 0.068322  1.461 0.000113 0.000101
51 0.071391  0.974 0.000084 0.000106
52 0.069853  0.487 0.000122 0.000110
53 0.070408  1.948 0.000091 0.000113
54 0.070290  0.974 0.000127 0.000118
55 0.071762 -0.487 0.000104 0.000123
56 0.073177 -0.487 0.000124 0.000125
57 0.072890  1.461 0.000119 0.000130
58 0.075958  0.974 0.000131 0.000134
59 0.077546  0.487 0.000126 0.000138
60 0.078409  0.974 0.000138 0.000143
61 0.078335  0.487 0.000133 0.000147
62 0.080109  1.948 0.000145 0.000152
63 0.081418  1.948 0.000141 0.000156
64 0.082517  1.461 0.000154 0.000159
65 0.088651  1.948 0.000156 0.000165
66 0.085451  0.974 0.000162 0.000170
67 0.084931  1.461 0.000158 0.000174
68 0.086111  1.461 0.000172 0.000179
69 0.085767  0.974 0.000166 0.000184
70 0.087387  1.461 0.000170 0.000189
71 0.089676  1.461 0.000183 0.000194
72 0.088220  1.948 0.000179 0.000201
73 0.090788  0.974 0.000192 0.000205
74 0.094358  0.487 0.000188 0.000210
75 0.103074  1.461 0.000214 0.000234
76 0.101642  1.948 0.000197 0.000221
77 0.097185  1.948 0.000256 0.000226
78 0.102821  1.461 0.000232 0.000233
79 0.102568  3.409 0.000228 0.000238
80 0.098089  2.435 0.000216 0.000244
81 0.097296  0.974 0.000230 0.000251
82 0.098750  2.435 0.000209 0.000256
83 0.101401  2.435 0.000291 0.000262
84 0.103260  1.461 0.000220 0.000268
85 0.103094  2.435 0.000304 0.000276
86 0.103047  2.435 0.000230 0.000282
87 0.104283  2.435 0.000271 0.000290
88 0.106519  2.435 0.000242 0.000296
89 0.104115  1.461 0.000279 0.000303
90 0.107947  2.435 0.000251 0.000310
91 0.107888  2.435 0.000289 0.000317
92 0.108202  2.435 0.000264 0.000326
93 0.109126  2.922 0.000303 0.000331
94 0.118646  2.922 0.000274 0.000338
95 0.112926  1.948 0.000323 0.000344
96 0.113697  1.948 0.000294 0.000353
97 0.113027  2.435 0.000327 0.000359
98 0.116710  1.948 0.000297 0.000407
99 0.116641  1.461 0.000337 0.000374
100 0.119220  2.435 0.000309 0.000384
101 0.117727  2.435 0.000391 0.000389
102 0.120895  2.435 0.000322 0.000396
103 0.120346  1.948 0.000362 0.000439
104 0.121722  2.922 0.000357 0.000418
105 0.120250  2.922 0.000374 0.000420
106 0.122924  1.948 0.000358 0.000429
107 0.126649  3.896 0.000429 0.000436
108 0.136739  2.435 0.000380 0.000486
109 0.130940  2.435 0.000391 0.000450
110 0.130422  2.922 0.000465 0.000477
111 0.141126  3.409 0.000417 0.000479
112 0.128850  3.409 0.000401 0.000475
113 0.127776  2.435 0.000461 0.000483
114 0.130806  3.409 0.000418 0.000493
115 0.133221  3.409 0.000433 0.000500
116 0.135001  3.409 0.000431 0.000509
117 0.134977  2.922 0.000448 0.000519
118 0.137057  3.409 0.000445 0.000532
119 0.139577  2.435 0.000463 0.000536
120 0.137028  3.896 0.000458 0.000553
121 0.136714  2.922 0.000467 0.000558
122 0.139162  3.409 0.000484 0.000572
123 0.140348  2.435 0.000481 0.000572
124 0.141884  2.435 0.000501 0.000581
125 0.143879  2.922 0.000496 0.000591
126 0.145236  2.922 0.000513 0.000602
127 0.150165  3.896 0.000531 0.000609
128 0.145005  3.409 0.000534 0.000619
129 0.144275  3.409 0.000527 0.000628
130 0.148166  2.922 0.000543 0.000639
131 0.148596  2.922 0.000560 0.000649
132 0.150361  2.922 0.000578 0.000674
133 0.149704  1.948 0.000543 0.000720
134 0.150975  3.409 0.000625 0.000694
135 0.154548  2.435 0.000560 0.000691
136 0.153219  4.383 0.000606 0.000700
137 0.153717  2.435 0.000578 0.000713
138 0.157117  2.922 0.000622 0.000723
139 0.157556  3.409 0.000595 0.000731
140 0.159938  2.922 0.000637 0.000744
